,Qwen3,PPO,EI,EMA,baseline_qwen,NoReward,baseline,Unnorm,Markovian,NonMarkovian
wiki_continuation,-3.01165771484375,-4.228172302246094,-2.279193878173828,-3.3307647705078125,-3.0312843322753906,-2.6466293334960938,-3.2001876831054688,-2.7026290893554688,-2.5640182495117188,-2.900421142578125
mmlu,0.6048334421946441,0.0,0.5323318092749837,0.23775310254735468,0.31809274983670804,0.46636185499673416,0.21358589157413455,0.6283474853037231,0.5545395166557805,0.6871325930764206
gsm8k,0.7156937073540561,0.0,0.6163760424564063,0.0,0.13040181956027294,0.621683093252464,0.19636087945413191,0.5617892342683851,0.5708870356330553,0.6330553449583017
arithmetic,0.005,0.99,0.76,0.975,0.0,0.81,0.01,0.99,0.98,0.97
arc,0.8503401360544217,0.0,0.6564625850340136,0.2653061224489796,0.3979591836734694,0.7925170068027211,0.36054421768707484,0.7482993197278912,0.7993197278911565,0.7857142857142857
svamp,0.31666666666666665,0.0,0.38666666666666666,0.0,0.2833333333333333,0.4066666666666667,0.18,0.43333333333333335,0.42333333333333334,0.43333333333333335
